,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
24,LP001052,Male,Yes,1,Graduate,No,Semiurban,N,3717,2925.0,151.0,360.0,0.8421985815602837
25,LP001066,Male,Yes,0,Graduate,Yes,Semiurban,Y,9560,0.0,191.0,360.0,1.0
26,LP001068,Male,Yes,0,Graduate,No,Semiurban,Y,2799,2253.0,122.0,360.0,1.0
27,LP001073,Male,Yes,2,Not Graduate,No,Urban,Y,4226,1040.0,110.0,360.0,1.0
28,LP001086,Male,No,0,Not Graduate,No,Urban,N,1442,0.0,35.0,360.0,1.0
29,LP001087,Female,No,2,Graduate,No,Semiurban,Y,3750,2083.0,120.0,360.0,1.0
30,LP001091,Male,Yes,1,Graduate,No,Urban,N,4166,3369.0,201.0,360.0,0.8421985815602837
31,LP001095,Male,No,0,Graduate,No,Urban,N,3167,0.0,74.0,360.0,1.0
32,LP001097,Male,No,1,Graduate,Yes,Rural,N,4692,0.0,106.0,360.0,1.0
33,LP001098,Male,Yes,0,Graduate,No,Semiurban,Y,3500,1667.0,114.0,360.0,1.0
34,LP001100,Male,No,3+,Graduate,No,Rural,N,12500,3000.0,320.0,360.0,1.0
35,LP001106,Male,Yes,0,Graduate,No,Urban,Y,2275,2067.0,146.41216216216216,360.0,1.0
36,LP001109,Male,Yes,0,Graduate,No,Urban,N,1828,1330.0,100.0,342.0,0.0
37,LP001112,Female,Yes,0,Graduate,No,Semiurban,Y,3667,1459.0,144.0,360.0,1.0
38,LP001114,Male,No,0,Graduate,No,Urban,Y,4166,7210.0,184.0,360.0,1.0
39,LP001116,Male,No,0,Not Graduate,No,Semiurban,Y,3748,1668.0,110.0,360.0,1.0
40,LP001119,Male,No,0,Graduate,No,Urban,N,3600,0.0,80.0,360.0,1.0
41,LP001120,Male,No,0,Graduate,No,Urban,Y,1800,1213.0,47.0,360.0,1.0
42,LP001123,Male,Yes,0,Graduate,No,Urban,Y,2400,0.0,75.0,360.0,0.8421985815602837
43,LP001131,Male,Yes,0,Graduate,No,Semiurban,Y,3941,2336.0,134.0,360.0,1.0
44,LP001136,Male,Yes,0,Not Graduate,Yes,Urban,Y,4695,0.0,96.0,342.0,1.0
45,LP001137,Female,No,0,Graduate,No,Urban,Y,3410,0.0,88.0,342.0,1.0
46,LP001138,Male,Yes,1,Graduate,No,Urban,Y,5649,0.0,44.0,360.0,1.0
47,LP001144,Male,Yes,0,Graduate,No,Urban,Y,5821,0.0,144.0,360.0,1.0
48,LP001146,Female,Yes,0,Graduate,No,Urban,N,2645,3440.0,120.0,360.0,0.0
49,LP001151,Female,No,0,Graduate,No,Semiurban,Y,4000,2275.0,144.0,360.0,1.0
50,LP001155,Female,Yes,0,Not Graduate,No,Semiurban,Y,1928,1644.0,100.0,360.0,1.0
51,LP001157,Female,No,0,Graduate,No,Semiurban,Y,3086,0.0,120.0,360.0,1.0
52,LP001164,Female,No,0,Graduate,No,Semiurban,N,4230,0.0,112.0,360.0,1.0
53,LP001179,Male,Yes,2,Graduate,No,Urban,N,4616,0.0,134.0,360.0,1.0
54,LP001186,Female,Yes,1,Graduate,Yes,Urban,N,11500,0.0,286.0,360.0,0.0
55,LP001194,Male,Yes,2,Graduate,No,Semiurban,Y,2708,1167.0,97.0,360.0,1.0
56,LP001195,Male,Yes,0,Graduate,No,Semiurban,Y,2132,1591.0,96.0,360.0,1.0
57,LP001197,Male,Yes,0,Graduate,No,Rural,N,3366,2200.0,135.0,360.0,1.0
58,LP001198,Male,Yes,1,Graduate,No,Urban,Y,8080,2250.0,180.0,360.0,1.0
59,LP001199,Male,Yes,2,Not Graduate,No,Urban,Y,3357,2859.0,144.0,360.0,1.0
60,LP001205,Male,Yes,0,Graduate,No,Urban,Y,2500,3796.0,120.0,360.0,1.0
61,LP001206,Male,Yes,3+,Graduate,No,Urban,Y,3029,0.0,99.0,360.0,1.0
62,LP001207,Male,Yes,0,Not Graduate,Yes,Rural,N,2609,3449.0,165.0,180.0,0.0
63,LP001213,Male,Yes,1,Graduate,No,Rural,N,4945,0.0,146.41216216216216,360.0,0.0
64,LP001222,Female,No,0,Graduate,No,Semiurban,N,4166,0.0,116.0,360.0,0.0
65,LP001225,Male,Yes,0,Graduate,No,Semiurban,N,5726,4595.0,258.0,360.0,1.0
66,LP001228,Male,No,0,Not Graduate,No,Urban,N,3200,2254.0,126.0,180.0,0.0
67,LP001233,Male,Yes,1,Graduate,No,Urban,Y,10750,0.0,312.0,360.0,1.0
68,LP001238,Male,Yes,3+,Not Graduate,Yes,Urban,Y,7100,0.0,125.0,60.0,1.0
69,LP001241,Female,No,0,Graduate,No,Semiurban,N,4300,0.0,136.0,360.0,0.0
70,LP001243,Male,Yes,0,Graduate,No,Urban,Y,3208,3066.0,172.0,360.0,1.0
71,LP001245,Male,Yes,2,Not Graduate,Yes,Semiurban,Y,1875,1875.0,97.0,360.0,1.0
72,LP001248,Male,No,0,Graduate,No,Semiurban,Y,3500,0.0,81.0,300.0,1.0
73,LP001250,Male,Yes,3+,Not Graduate,No,Semiurban,N,4755,0.0,95.0,342.0,0.0
74,LP001253,Male,Yes,3+,Graduate,Yes,Semiurban,Y,5266,1774.0,187.0,360.0,1.0
75,LP001255,Male,No,0,Graduate,No,Urban,N,3750,0.0,113.0,480.0,1.0
76,LP001256,Male,No,0,Graduate,No,Urban,N,3750,4750.0,176.0,360.0,1.0
77,LP001259,Male,Yes,1,Graduate,Yes,Urban,N,1000,3022.0,110.0,360.0,1.0
78,LP001263,Male,Yes,3+,Graduate,No,Semiurban,N,3167,4000.0,180.0,300.0,0.0
79,LP001264,Male,Yes,3+,Not Graduate,Yes,Semiurban,Y,3333,2166.0,130.0,360.0,0.8421985815602837
80,LP001265,Female,No,0,Graduate,No,Semiurban,Y,3846,0.0,111.0,360.0,1.0
81,LP001266,Male,Yes,1,Graduate,Yes,Semiurban,Y,2395,0.0,146.41216216216216,360.0,1.0
82,LP001267,Female,Yes,2,Graduate,No,Urban,N,1378,1881.0,167.0,360.0,1.0
83,LP001273,Male,Yes,0,Graduate,No,Semiurban,N,6000,2250.0,265.0,360.0,0.8421985815602837
84,LP001275,Male,Yes,1,Graduate,No,Urban,Y,3988,0.0,50.0,240.0,1.0
85,LP001279,Male,No,0,Graduate,No,Semiurban,Y,2366,2531.0,136.0,360.0,1.0
86,LP001280,Male,Yes,2,Not Graduate,No,Semiurban,Y,3333,2000.0,99.0,360.0,0.8421985815602837
87,LP001282,Male,Yes,0,Graduate,No,Semiurban,Y,2500,2118.0,104.0,360.0,1.0
88,LP001289,Male,No,0,Graduate,No,Urban,Y,8566,0.0,210.0,360.0,1.0
89,LP001310,Male,Yes,0,Graduate,No,Semiurban,Y,5695,4167.0,175.0,360.0,1.0
90,LP001316,Male,Yes,0,Graduate,No,Semiurban,Y,2958,2900.0,131.0,360.0,1.0
91,LP001318,Male,Yes,2,Graduate,No,Semiurban,Y,6250,5654.0,188.0,180.0,1.0
92,LP001319,Male,Yes,2,Not Graduate,No,Urban,Y,3273,1820.0,81.0,360.0,1.0
93,LP001322,Male,No,0,Graduate,No,Semiurban,Y,4133,0.0,122.0,360.0,1.0
94,LP001325,Male,No,0,Not Graduate,No,Semiurban,Y,3620,0.0,25.0,120.0,1.0
95,LP001326,Male,No,0,Graduate,No,Urban,N,6782,0.0,146.41216216216216,360.0,0.8421985815602837
96,LP001327,Female,Yes,0,Graduate,No,Semiurban,Y,2484,2302.0,137.0,360.0,1.0
97,LP001333,Male,Yes,0,Graduate,No,Semiurban,Y,1977,997.0,50.0,360.0,1.0
98,LP001334,Male,Yes,0,Not Graduate,No,Semiurban,Y,4188,0.0,115.0,180.0,1.0
99,LP001343,Male,Yes,0,Graduate,No,Semiurban,Y,1759,3541.0,131.0,360.0,1.0
100,LP001345,Male,Yes,2,Not Graduate,No,Urban,Y,4288,3263.0,133.0,180.0,1.0
101,LP001349,Male,No,0,Graduate,No,Semiurban,Y,4843,3806.0,151.0,360.0,1.0
102,LP001350,Male,Yes,0,Graduate,No,Urban,Y,13650,0.0,146.41216216216216,360.0,1.0
103,LP001356,Male,Yes,0,Graduate,No,Semiurban,Y,4652,3583.0,146.41216216216216,360.0,1.0
104,LP001357,Male,Yes,0,Graduate,No,Urban,Y,3816,754.0,160.0,360.0,1.0
105,LP001367,Male,Yes,1,Graduate,No,Urban,Y,3052,1030.0,100.0,360.0,1.0
106,LP001369,Male,Yes,2,Graduate,No,Urban,Y,11417,1126.0,225.0,360.0,1.0
107,LP001370,Male,No,0,Not Graduate,No,Rural,N,7333,0.0,120.0,360.0,1.0
108,LP001379,Male,Yes,2,Graduate,No,Urban,N,3800,3600.0,216.0,360.0,0.0
109,LP001384,Male,Yes,3+,Not Graduate,No,Semiurban,Y,2071,754.0,94.0,480.0,1.0
110,LP001385,Male,No,0,Graduate,No,Urban,Y,5316,0.0,136.0,360.0,1.0
111,LP001387,Female,Yes,0,Graduate,No,Semiurban,Y,2929,2333.0,139.0,360.0,1.0
112,LP001391,Male,Yes,0,Not Graduate,No,Rural,N,3572,4114.0,152.0,342.0,0.0
113,LP001392,Female,No,1,Graduate,Yes,Semiurban,Y,7451,0.0,146.41216216216216,360.0,1.0
114,LP001398,Male,No,0,Graduate,No,Semiurban,Y,5050,0.0,118.0,360.0,1.0
115,LP001401,Male,Yes,1,Graduate,No,Rural,Y,14583,0.0,185.0,180.0,1.0
116,LP001404,Female,Yes,0,Graduate,No,Semiurban,Y,3167,2283.0,154.0,360.0,1.0
117,LP001405,Male,Yes,1,Graduate,No,Urban,Y,2214,1398.0,85.0,360.0,0.8421985815602837
118,LP001421,Male,Yes,0,Graduate,No,Rural,N,5568,2142.0,175.0,360.0,1.0
119,LP001422,Female,No,0,Graduate,No,Urban,Y,10408,0.0,259.0,360.0,1.0
120,LP001426,Male,Yes,0,Graduate,No,Rural,Y,5667,2667.0,180.0,360.0,1.0
121,LP001430,Female,No,0,Graduate,No,Semiurban,Y,4166,0.0,44.0,360.0,1.0
122,LP001431,Female,No,0,Graduate,No,Semiurban,Y,2137,8980.0,137.0,360.0,0.0
123,LP001432,Male,Yes,2,Graduate,No,Semiurban,Y,2957,0.0,81.0,360.0,1.0
124,LP001439,Male,Yes,0,Not Graduate,No,Rural,Y,4300,2014.0,194.0,360.0,1.0
125,LP001443,Female,No,0,Graduate,No,Rural,Y,3692,0.0,93.0,360.0,0.8421985815602837
126,LP001448,Male,Yes,3+,Graduate,No,Rural,Y,23803,0.0,370.0,360.0,1.0
127,LP001449,Male,No,0,Graduate,No,Rural,Y,3865,1640.0,146.41216216216216,360.0,1.0
128,LP001451,Male,Yes,1,Graduate,Yes,Urban,N,10513,3850.0,160.0,180.0,0.0
129,LP001465,Male,Yes,0,Graduate,No,Rural,N,6080,2569.0,182.0,360.0,0.8421985815602837
130,LP001469,Male,No,0,Graduate,Yes,Urban,Y,20166,0.0,650.0,480.0,0.8421985815602837
131,LP001473,Male,No,0,Graduate,No,Urban,Y,2014,1929.0,74.0,360.0,1.0
132,LP001478,Male,No,0,Graduate,No,Semiurban,Y,2718,0.0,70.0,360.0,1.0
133,LP001482,Male,Yes,0,Graduate,Yes,Semiurban,Y,3459,0.0,25.0,120.0,1.0
134,LP001487,Male,No,0,Graduate,No,Semiurban,Y,4895,0.0,102.0,360.0,1.0
135,LP001488,Male,Yes,3+,Graduate,No,Semiurban,N,4000,7750.0,290.0,360.0,1.0
136,LP001489,Female,Yes,0,Graduate,No,Rural,N,4583,0.0,84.0,360.0,1.0
137,LP001491,Male,Yes,2,Graduate,Yes,Urban,Y,3316,3500.0,88.0,360.0,1.0
138,LP001492,Male,No,0,Graduate,No,Semiurban,N,14999,0.0,242.0,360.0,0.0
139,LP001493,Male,Yes,2,Not Graduate,No,Rural,N,4200,1430.0,129.0,360.0,1.0
140,LP001497,Male,Yes,2,Graduate,No,Rural,N,5042,2083.0,185.0,360.0,1.0
141,LP001498,Male,No,0,Graduate,No,Urban,Y,5417,0.0,168.0,360.0,1.0
142,LP001504,Male,No,0,Graduate,Yes,Semiurban,Y,6950,0.0,175.0,180.0,1.0
143,LP001507,Male,Yes,0,Graduate,No,Semiurban,Y,2698,2034.0,122.0,360.0,1.0
144,LP001508,Male,Yes,2,Graduate,No,Urban,Y,11757,0.0,187.0,180.0,1.0
145,LP001514,Female,Yes,0,Graduate,No,Semiurban,Y,2330,4486.0,100.0,360.0,1.0
146,LP001516,Female,Yes,2,Graduate,No,Urban,Y,14866,0.0,70.0,360.0,1.0
147,LP001518,Male,Yes,1,Graduate,No,Urban,Y,1538,1425.0,30.0,360.0,1.0
148,LP001519,Female,No,0,Graduate,No,Rural,N,10000,1666.0,225.0,360.0,1.0
149,LP001520,Male,Yes,0,Graduate,No,Semiurban,Y,4860,830.0,125.0,360.0,1.0
150,LP001528,Male,No,0,Graduate,No,Rural,N,6277,0.0,118.0,360.0,0.0
151,LP001529,Male,Yes,0,Graduate,Yes,Rural,Y,2577,3750.0,152.0,360.0,1.0
152,LP001531,Male,No,0,Graduate,No,Urban,N,9166,0.0,244.0,360.0,1.0
153,LP001532,Male,Yes,2,Not Graduate,No,Rural,N,2281,0.0,113.0,360.0,1.0
154,LP001535,Male,No,0,Graduate,No,Urban,Y,3254,0.0,50.0,360.0,1.0
155,LP001536,Male,Yes,3+,Graduate,No,Semiurban,Y,39999,0.0,600.0,180.0,0.0
156,LP001541,Male,Yes,1,Graduate,No,Rural,Y,6000,0.0,160.0,360.0,0.8421985815602837
157,LP001543,Male,Yes,1,Graduate,No,Urban,Y,9538,0.0,187.0,360.0,1.0
158,LP001546,Male,No,0,Graduate,No,Rural,Y,2980,2083.0,120.0,360.0,1.0
159,LP001552,Male,Yes,0,Graduate,No,Semiurban,Y,4583,5625.0,255.0,360.0,1.0
160,LP001560,Male,Yes,0,Not Graduate,No,Semiurban,Y,1863,1041.0,98.0,360.0,1.0
161,LP001562,Male,Yes,0,Graduate,No,Urban,N,7933,0.0,275.0,360.0,1.0
162,LP001565,Male,Yes,1,Graduate,No,Semiurban,N,3089,1280.0,121.0,360.0,0.0
163,LP001570,Male,Yes,2,Graduate,No,Rural,Y,4167,1447.0,158.0,360.0,1.0
164,LP001572,Male,Yes,0,Graduate,No,Urban,Y,9323,0.0,75.0,180.0,1.0
165,LP001574,Male,Yes,0,Graduate,No,Rural,Y,3707,3166.0,182.0,342.0,1.0
166,LP001577,Female,Yes,0,Graduate,No,Rural,N,4583,0.0,112.0,360.0,1.0
167,LP001578,Male,Yes,0,Graduate,No,Rural,Y,2439,3333.0,129.0,360.0,1.0
168,LP001579,Male,No,0,Graduate,No,Semiurban,N,2237,0.0,63.0,480.0,0.0
169,LP001580,Male,Yes,2,Graduate,No,Semiurban,Y,8000,0.0,200.0,360.0,1.0
170,LP001581,Male,Yes,0,Not Graduate,No,Rural,Y,1820,1769.0,95.0,360.0,1.0
171,LP001585,Male,Yes,3+,Graduate,No,Urban,Y,51763,0.0,700.0,300.0,1.0
172,LP001586,Male,Yes,3+,Not Graduate,No,Rural,N,3522,0.0,81.0,180.0,1.0
173,LP001594,Male,Yes,0,Graduate,No,Semiurban,Y,5708,5625.0,187.0,360.0,1.0
174,LP001603,Male,Yes,0,Not Graduate,Yes,Semiurban,N,4344,736.0,87.0,360.0,1.0
175,LP001606,Male,Yes,0,Graduate,No,Rural,Y,3497,1964.0,116.0,360.0,1.0
176,LP001608,Male,Yes,2,Graduate,No,Rural,Y,2045,1619.0,101.0,360.0,1.0
177,LP001610,Male,Yes,3+,Graduate,No,Semiurban,N,5516,11300.0,495.0,360.0,0.0
178,LP001616,Male,Yes,1,Graduate,No,Semiurban,Y,3750,0.0,116.0,360.0,1.0
179,LP001630,Male,No,0,Not Graduate,No,Urban,N,2333,1451.0,102.0,480.0,0.0
180,LP001633,Male,Yes,1,Graduate,No,Urban,N,6400,7250.0,180.0,360.0,0.0
181,LP001634,Male,No,0,Graduate,No,Rural,N,1916,5063.0,67.0,360.0,0.8421985815602837
182,LP001636,Male,Yes,0,Graduate,No,Semiurban,Y,4600,0.0,73.0,180.0,1.0
183,LP001637,Male,Yes,1,Graduate,No,Semiurban,N,33846,0.0,260.0,360.0,1.0
184,LP001639,Female,Yes,0,Graduate,No,Semiurban,Y,3625,0.0,108.0,360.0,1.0
185,LP001640,Male,Yes,0,Graduate,Yes,Semiurban,Y,39147,4750.0,120.0,360.0,1.0
186,LP001641,Male,Yes,1,Graduate,Yes,Rural,N,2178,0.0,66.0,300.0,0.0
187,LP001643,Male,Yes,0,Graduate,No,Rural,Y,2383,2138.0,58.0,360.0,0.8421985815602837
188,LP001644,Male,Yes,0,Graduate,Yes,Rural,Y,674,5296.0,168.0,360.0,1.0
189,LP001647,Male,Yes,0,Graduate,No,Rural,Y,9328,0.0,188.0,180.0,1.0
190,LP001653,Male,No,0,Not Graduate,No,Rural,Y,4885,0.0,48.0,360.0,1.0
191,LP001656,Male,No,0,Graduate,No,Semiurban,N,12000,0.0,164.0,360.0,1.0
192,LP001657,Male,Yes,0,Not Graduate,No,Urban,N,6033,0.0,160.0,360.0,1.0
193,LP001658,Male,No,0,Graduate,No,Semiurban,Y,3858,0.0,76.0,360.0,1.0
194,LP001664,Male,No,0,Graduate,No,Rural,Y,4191,0.0,120.0,360.0,1.0
195,LP001665,Male,Yes,1,Graduate,No,Semiurban,N,3125,2583.0,170.0,360.0,1.0
196,LP001666,Male,No,0,Graduate,No,Rural,Y,8333,3750.0,187.0,360.0,1.0
197,LP001669,Female,No,0,Not Graduate,No,Urban,Y,1907,2365.0,120.0,342.0,1.0
198,LP001671,Female,Yes,0,Graduate,No,Semiurban,Y,3416,2816.0,113.0,360.0,0.8421985815602837
199,LP001673,Male,No,0,Graduate,Yes,Urban,N,11000,0.0,83.0,360.0,1.0
200,LP001674,Male,Yes,1,Not Graduate,No,Semiurban,Y,2600,2500.0,90.0,360.0,1.0
201,LP001677,Male,No,2,Graduate,No,Semiurban,Y,4923,0.0,166.0,360.0,0.0
202,LP001682,Male,Yes,3+,Not Graduate,No,Urban,N,3992,0.0,146.41216216216216,180.0,1.0
203,LP001688,Male,Yes,1,Not Graduate,No,Urban,Y,3500,1083.0,135.0,360.0,1.0
204,LP001691,Male,Yes,2,Not Graduate,No,Semiurban,Y,3917,0.0,124.0,360.0,1.0
205,LP001692,Female,No,0,Not Graduate,No,Semiurban,Y,4408,0.0,120.0,360.0,1.0
206,LP001693,Female,No,0,Graduate,No,Urban,Y,3244,0.0,80.0,360.0,1.0
207,LP001698,Male,No,0,Not Graduate,No,Rural,Y,3975,2531.0,55.0,360.0,1.0
208,LP001699,Male,No,0,Graduate,No,Urban,Y,2479,0.0,59.0,360.0,1.0
209,LP001702,Male,No,0,Graduate,No,Semiurban,N,3418,0.0,127.0,360.0,1.0
210,LP001708,Female,No,0,Graduate,No,Semiurban,N,10000,0.0,214.0,360.0,1.0
211,LP001711,Male,Yes,3+,Graduate,No,Semiurban,N,3430,1250.0,128.0,360.0,0.0
212,LP001713,Male,Yes,1,Graduate,Yes,Urban,Y,7787,0.0,240.0,360.0,1.0
213,LP001715,Male,Yes,3+,Not Graduate,Yes,Rural,Y,5703,0.0,130.0,360.0,1.0
214,LP001716,Male,Yes,0,Graduate,No,Urban,Y,3173,3021.0,137.0,360.0,1.0
215,LP001720,Male,Yes,3+,Not Graduate,No,Semiurban,Y,3850,983.0,100.0,360.0,1.0
216,LP001722,Male,Yes,0,Graduate,No,Rural,N,150,1800.0,135.0,360.0,1.0
217,LP001726,Male,Yes,0,Graduate,No,Semiurban,Y,3727,1775.0,131.0,360.0,1.0
218,LP001732,Male,Yes,2,Graduate,No,Semiurban,N,5000,0.0,72.0,360.0,0.0
219,LP001734,Female,Yes,2,Graduate,No,Semiurban,Y,4283,2383.0,127.0,360.0,0.8421985815602837
220,LP001736,Male,Yes,0,Graduate,No,Urban,N,2221,0.0,60.0,360.0,0.0
221,LP001743,Male,Yes,2,Graduate,No,Semiurban,Y,4009,1717.0,116.0,360.0,1.0
222,LP001744,Male,No,0,Graduate,No,Semiurban,Y,2971,2791.0,144.0,360.0,1.0
223,LP001749,Male,Yes,0,Graduate,No,Semiurban,Y,7578,1010.0,175.0,342.0,1.0
224,LP001750,Male,Yes,0,Graduate,No,Semiurban,Y,6250,0.0,128.0,360.0,1.0
225,LP001751,Male,Yes,0,Graduate,No,Rural,N,3250,0.0,170.0,360.0,1.0
226,LP001754,Male,Yes,0,Not Graduate,Yes,Urban,N,4735,0.0,138.0,360.0,1.0
227,LP001758,Male,Yes,2,Graduate,No,Semiurban,Y,6250,1695.0,210.0,360.0,1.0
228,LP001760,Male,Yes,0,Graduate,No,Semiurban,Y,4758,0.0,158.0,480.0,1.0
229,LP001761,Male,No,0,Graduate,Yes,Rural,Y,6400,0.0,200.0,360.0,1.0
230,LP001765,Male,Yes,1,Graduate,No,Semiurban,Y,2491,2054.0,104.0,360.0,1.0
231,LP001768,Male,Yes,0,Graduate,No,Rural,Y,3716,0.0,42.0,180.0,1.0
232,LP001770,Male,No,0,Not Graduate,No,Rural,Y,3189,2598.0,120.0,342.0,1.0
233,LP001776,Female,No,0,Graduate,No,Semiurban,Y,8333,0.0,280.0,360.0,1.0
234,LP001778,Male,Yes,1,Graduate,No,Semiurban,Y,3155,1779.0,140.0,360.0,1.0
235,LP001784,Male,Yes,1,Graduate,No,Rural,Y,5500,1260.0,170.0,360.0,1.0
236,LP001786,Male,Yes,0,Graduate,No,Urban,N,5746,0.0,255.0,360.0,0.8421985815602837
237,LP001788,Female,No,0,Graduate,Yes,Urban,Y,3463,0.0,122.0,360.0,0.8421985815602837
238,LP001790,Female,No,1,Graduate,No,Rural,Y,3812,0.0,112.0,360.0,1.0
239,LP001792,Male,Yes,1,Graduate,No,Semiurban,Y,3315,0.0,96.0,360.0,1.0
240,LP001798,Male,Yes,2,Graduate,No,Rural,Y,5819,5000.0,120.0,360.0,1.0
241,LP001800,Male,Yes,1,Not Graduate,No,Urban,N,2510,1983.0,140.0,180.0,1.0
242,LP001806,Male,No,0,Graduate,No,Urban,Y,2965,5701.0,155.0,60.0,1.0
243,LP001807,Male,Yes,2,Graduate,Yes,Rural,Y,6250,1300.0,108.0,360.0,1.0
244,LP001811,Male,Yes,0,Not Graduate,No,Semiurban,Y,3406,4417.0,123.0,360.0,1.0
245,LP001813,Male,No,0,Graduate,Yes,Urban,N,6050,4333.0,120.0,180.0,1.0
246,LP001814,Male,Yes,2,Graduate,No,Urban,Y,9703,0.0,112.0,360.0,1.0
247,LP001819,Male,Yes,1,Not Graduate,No,Urban,Y,6608,0.0,137.0,180.0,1.0
248,LP001824,Male,Yes,1,Graduate,No,Semiurban,Y,2882,1843.0,123.0,480.0,1.0
249,LP001825,Male,Yes,0,Graduate,No,Urban,Y,1809,1868.0,90.0,360.0,1.0
250,LP001835,Male,Yes,0,Not Graduate,No,Semiurban,N,1668,3890.0,201.0,360.0,0.0
251,LP001836,Female,No,2,Graduate,No,Urban,N,3427,0.0,138.0,360.0,1.0
252,LP001841,Male,No,0,Not Graduate,Yes,Rural,Y,2583,2167.0,104.0,360.0,1.0
253,LP001843,Male,Yes,1,Not Graduate,No,Semiurban,Y,2661,7101.0,279.0,180.0,1.0
254,LP001844,Male,No,0,Graduate,Yes,Urban,N,16250,0.0,192.0,360.0,0.0
255,LP001846,Female,No,3+,Graduate,No,Rural,Y,3083,0.0,255.0,360.0,1.0
256,LP001849,Male,No,0,Not Graduate,No,Rural,N,6045,0.0,115.0,360.0,0.0
257,LP001854,Male,Yes,3+,Graduate,No,Urban,N,5250,0.0,94.0,360.0,1.0
258,LP001859,Male,Yes,0,Graduate,No,Rural,N,14683,2100.0,304.0,360.0,1.0
259,LP001864,Male,Yes,3+,Not Graduate,No,Semiurban,N,4931,0.0,128.0,360.0,0.8421985815602837
260,LP001865,Male,Yes,1,Graduate,No,Urban,Y,6083,4250.0,330.0,360.0,0.8421985815602837
261,LP001868,Male,No,0,Graduate,No,Semiurban,Y,2060,2209.0,134.0,360.0,1.0
262,LP001870,Female,No,1,Graduate,No,Semiurban,N,3481,0.0,155.0,36.0,1.0
263,LP001871,Female,No,0,Graduate,No,Rural,Y,7200,0.0,120.0,360.0,1.0
264,LP001872,Male,No,0,Graduate,Yes,Semiurban,Y,5166,0.0,128.0,360.0,1.0
265,LP001875,Male,No,0,Graduate,No,Rural,Y,4095,3447.0,151.0,360.0,1.0
266,LP001877,Male,Yes,2,Graduate,No,Semiurban,Y,4708,1387.0,150.0,360.0,1.0
267,LP001882,Male,Yes,3+,Graduate,No,Urban,Y,4333,1811.0,160.0,360.0,0.0
268,LP001883,Female,No,0,Graduate,No,Rural,N,3418,0.0,135.0,360.0,1.0
269,LP001884,Female,No,1,Graduate,No,Urban,Y,2876,1560.0,90.0,360.0,1.0
270,LP001888,Female,No,0,Graduate,No,Urban,Y,3237,0.0,30.0,360.0,1.0
271,LP001891,Male,Yes,0,Graduate,No,Urban,Y,11146,0.0,136.0,360.0,1.0
272,LP001892,Male,No,0,Graduate,No,Rural,Y,2833,1857.0,126.0,360.0,1.0
